Bar0, 1
Bar1, 0.4299065420560747
Bar2, 1
Bar3, 0.37850467289719625
Bar4, 1
Bar5, 0.911214953271028
Bar6, 1
Bar7, 0.7056074766355139
Bar8, 0.33177570093457937
Bar9, 1
Bar10, 1
Bar11, 0.77803738317757
Bar12, 1
Bar13, 1.0350467289719625
Bar14, 1.2990654205607475
Bar15, 1
Bar16, 0.9859813084112148
Bar17, 0.9228971962616822
Bar18, 0.997663551401869
Bar19, 0.6939252336448597
Bar20, 1
Bar21, 0.5210280373831775
Bar22, 1.0023364485981308
Bar23, 0.7920560747663551
Bar24, 1
Bar25, 0.75
Bar26, 1
Bar27, 0.7266355140186915
Bar28, 1
Bar29, 0.9509345794392523
Bar30, 1
Bar31, 1
Bar32, 0.9182242990654205
Bar33, 0.9415887850467288
Bar34, 1
Bar35, 0.6705607476635512
Bar36, 1
Bar37, 0.7570093457943924
Bar38, 0.7523364485981309
Bar39, 1.0023364485981308
Bar40, 0.7827102803738316
Bar41, 0.8037383177570092
