Publication Title,Total number of articles,Number of articles with bar graphs,Number of articles without bar graphs,Number of articles with correct bar graphs,Number of articles with incorrect bar graphs,Number of articles with nonzero bar graph y-min,Number of articles with logarithmic bar graph y axis,Number of articles with other bar graph misrepresentations,Percentage of articles without bar graphs,Percentage of articles with bar graphs,Percentage of articles with correct bar graphs,Percentage of articles with incorrect bar graphs,Percentage of articles with nonzero bar graph y-min,Percentage of articles with logarithmic bar graph y axis,Percentage of articles with other bar graph misrepresentations
Nature Biomedical Engineering,109.0,91.0,18.0,50.0,41.0,23.0,22.0,1.0,16.51376146788991,83.4862385321101,54.94505494505495,45.05494505494506,56.09756097560976,53.65853658536586,2.4390243902439024
Cell,297.0,283.0,14.0,177.0,106.0,46.0,59.0,13.0,4.713804713804714,95.28619528619528,62.544169611307424,37.455830388692576,43.39622641509434,55.660377358490564,12.264150943396226
Science Translational Medicine,248.0,224.0,24.0,143.0,81.0,45.0,36.0,16.0,9.67741935483871,90.32258064516128,63.83928571428571,36.160714285714285,55.55555555555556,44.44444444444444,19.753086419753085
ACS Nano,824.0,725.0,99.0,475.0,250.0,181.0,57.0,35.0,12.014563106796118,87.98543689320388,65.51724137931035,34.48275862068966,72.39999999999999,22.8,14.000000000000002
Science Immunology,116.0,111.0,5.0,73.0,38.0,20.0,22.0,3.0,4.310344827586207,95.6896551724138,65.76576576576578,34.234234234234236,52.63157894736842,57.89473684210527,7.894736842105263
Nature Cancer,75.0,75.0,0.0,53.0,22.0,7.0,18.0,2.0,0.0,100.0,70.66666666666667,29.333333333333332,31.818181818181817,81.81818181818183,9.090909090909092
Nature Nanotechnology,55.0,45.0,10.0,32.0,13.0,6.0,6.0,3.0,18.181818181818183,81.81818181818183,71.11111111111111,28.888888888888886,46.15384615384615,46.15384615384615,23.076923076923077
Nature,554.0,487.0,67.0,356.0,131.0,80.0,59.0,10.0,12.093862815884476,87.90613718411552,73.1006160164271,26.899383983572893,61.06870229007634,45.038167938931295,7.633587786259542
Nature Biotechnology,157.0,140.0,17.0,103.0,37.0,12.0,24.0,6.0,10.828025477707007,89.171974522293,73.57142857142858,26.42857142857143,32.432432432432435,64.86486486486487,16.216216216216218
Nature Cell Biology,120.0,117.0,3.0,90.0,27.0,17.0,11.0,2.0,2.5,97.5,76.92307692307693,23.076923076923077,62.96296296296296,40.74074074074074,7.4074074074074066
Science Signaling,101.0,91.0,10.0,71.0,20.0,15.0,7.0,1.0,9.900990099009901,90.0990099009901,78.02197802197803,21.978021978021978,75.0,35.0,5.0
Bioengineering & Translational Medicine,132.0,115.0,17.0,92.0,23.0,16.0,6.0,2.0,12.878787878787879,87.12121212121212,80.0,20.0,69.56521739130434,26.08695652173913,8.695652173913043
Nature Neuroscience,153.0,128.0,25.0,103.0,25.0,19.0,6.0,1.0,16.33986928104575,83.66013071895425,80.46875,19.53125,76.0,24.0,4.0
Science,313.0,239.0,74.0,197.0,42.0,22.0,18.0,7.0,23.642172523961662,76.35782747603834,82.42677824267783,17.573221757322173,52.38095238095239,42.857142857142854,16.666666666666664
Nature Plants,133.0,114.0,19.0,96.0,18.0,15.0,4.0,1.0,14.285714285714285,85.71428571428571,84.21052631578947,15.789473684210526,83.33333333333334,22.22222222222222,5.555555555555555
Total,3387.0,2985.0,402.0,2111.0,874.0,524.0,355.0,103.0,11.868910540301151,88.13108945969886,70.72026800670017,29.279731993299833,59.95423340961098,40.61784897025172,11.784897025171624
