Publication Title,Percentage of articles with incorrect bar graphs,Percentage of articles with correct bar graphs
Nature Biomedical Engineering,45.05494505494506,54.94505494505495
Cell,37.455830388692576,62.544169611307424
Science Translational Medicine,36.160714285714285,63.83928571428571
ACS Nano,34.48275862068966,65.51724137931035
Science Immunology,34.234234234234236,65.76576576576578
Nature Cancer,29.333333333333332,70.66666666666667
Nature Nanotechnology,28.888888888888886,71.11111111111111
Nature,26.899383983572893,73.1006160164271
Nature Biotechnology,26.42857142857143,73.57142857142858
Nature Cell Biology,23.076923076923077,76.92307692307693
Science Signaling,21.978021978021978,78.02197802197803
Bioengineering & Translational Medicine,20.0,80.0
Nature Neuroscience,19.53125,80.46875
Science,17.573221757322173,82.42677824267783
Nature Plants,15.789473684210526,84.21052631578947
Total,29.279731993299833,70.72026800670017
