Publication Title,Percentage of articles with nonzero bar graph y-min,Percentage of articles with logarithmic bar graph y axis,Percentage of articles with other bar graph misrepresentations
Nature Biomedical Engineering,56.09756097560976,53.65853658536586,2.4390243902439024
Cell,43.39622641509434,55.660377358490564,12.264150943396226
Science Translational Medicine,55.55555555555556,44.44444444444444,19.753086419753085
ACS Nano,72.39999999999999,22.8,14.000000000000002
Science Immunology,52.63157894736842,57.89473684210527,7.894736842105263
Nature Cancer,31.818181818181817,81.81818181818183,9.090909090909092
Nature Nanotechnology,46.15384615384615,46.15384615384615,23.076923076923077
Nature,61.06870229007634,45.038167938931295,7.633587786259542
Nature Biotechnology,32.432432432432435,64.86486486486487,16.216216216216218
Nature Cell Biology,62.96296296296296,40.74074074074074,7.4074074074074066
Science Signaling,75.0,35.0,5.0
Bioengineering & Translational Medicine,69.56521739130434,26.08695652173913,8.695652173913043
Nature Neuroscience,76.0,24.0,4.0
Science,52.38095238095239,42.857142857142854,16.666666666666664
Nature Plants,83.33333333333334,22.22222222222222,5.555555555555555
Total,59.95423340961098,40.61784897025172,11.784897025171624
